Model,Accuracy,Precision,Recall,F1,Balanced Accuracy,ROC-AUC,Selection Score
Logistic Regression,0.7507828810020877,0.5,0.7811518324607329,0.6097261953412342,0.7609269763624484,0.8027899553599863,0.7386487398811006
Random Forest,0.7815762004175365,0.5762273901808785,0.46701570680628274,0.5159051474840949,0.6765040299759603,0.8003357555044794,0.6149401599427043
ExtraTrees,0.785490605427975,0.5518316445830086,0.7413612565445026,0.6327077747989276,0.7707501451300893,0.8023044292429395,0.7367809014291147
HistGradientBoosting,0.7943632567849687,0.5643793369313801,0.7664921465968586,0.650088809946714,0.7850535116022179,0.8204559723534004,0.7555226101247977
